Tickers;Segmentos
2WAV3;MERCADO DE BALCÃO
A6OP3;BOLSA
AALR12;NOVO MERCADO
AALR13;NOVO MERCADO
AALR3;NOVO MERCADO
ABCB3;NIVEL 2
ABCB4;NIVEL 2
ABEV3;BOLSA
ADMF3;NOVO MERCADO
AERI3;NOVO MERCADO
AESO3;BOLSA
AFLT3;BOLSA
AGBK4;BOLSA
AGRA4;BOLSA
AGRO3;NOVO MERCADO
AGXY3;NOVO MERCADO
AHEB3;BOLSA
AHEB5;BOLSA
AHEB6;BOLSA
ALLD3;NOVO MERCADO
ALOS3;NOVO MERCADO
ALPA3;NIVEL 1
ALPA4;NIVEL 1
ALPK3;NOVO MERCADO
ALUP3;NIVEL 2
ALUP4;NIVEL 2
AMAR3;NOVO MERCADO
AMBP3;NOVO MERCADO
AMER3;NOVO MERCADO
AMOB3;NOVO MERCADO
AMZG3;BOLSA
ANIM3;NOVO MERCADO
APTI3;BOLSA
APTI4;BOLSA
ARML3;NOVO MERCADO
ASAI3;NOVO MERCADO
ATEA3;BOLSA
ATED3;BOLSA
ATMP3;BOLSA
AURE3;NOVO MERCADO
AVLL3;NOVO MERCADO
AZEV3;BOLSA
AZEV4;BOLSA
AZTE3;BOLSA
AZUL17;NIVEL 2
AZUL3;NIVEL 2
AZUL4;NIVEL 2
AZZA3;NOVO MERCADO
B3SA3;NOVO MERCADO
BALM3;BOLSA
BALM4;BOLSA
BAUH3;BOLSA
BAUH4;BOLSA
BAZA3;BOLSA
BBAS11;NOVO MERCADO
BBAS12;NOVO MERCADO
BBAS3;NOVO MERCADO
BBDC3;NIVEL 1
BBDC4;NIVEL 1
BBML3;BOVESPA MAIS
BBSE3;NOVO MERCADO
BCEE3;BOLSA
BCEE5;BOLSA
BCPS3;BOLSA
BCPS4;BOLSA
BDLL3;BOLSA
BDLL4;BOLSA
BEEF3;NOVO MERCADO
BEES3;BOLSA
BEES4;BOLSA
BEGB4;BOLSA
BETP3;BOLSA
BFFT3;MERCADO DE BALCÃO
BGIP3;BOLSA
BGIP4;BOLSA
BHIA3;NOVO MERCADO
BIED3;BOVESPA MAIS
BIOM3;BOVESPA MAIS
BLAU3;NOVO MERCADO
BMEB3;NIVEL 1
BMEB4;NIVEL 1
BMGB3;NIVEL 1
BMGB4;NIVEL 1
BMIN3;BOLSA
BMIN4;BOLSA
BMKS3;BOLSA
BMOB3;NOVO MERCADO
BNAC3;BOLSA
BNAC4;BOLSA
BNBR3;BOLSA
BNRG3;BOLSA
BOBR3;BOLSA
BOBR4;BOLSA
BPAC3;NIVEL 2
BPAC5;NIVEL 2
BPAC6;NIVEL 2
BPAN11;NIVEL 1
BPAN3;NIVEL 1
BPAN4;NIVEL 1
BPAR3;BOLSA
BRAP3;NIVEL 1
BRAP4;NIVEL 1
BRAV3;NOVO MERCADO
BRBI3;NIVEL 2
BRBI4;NIVEL 2
BRFS3;NOVO MERCADO
BRKM3;NIVEL 1
BRKM5;NIVEL 1
BRKM6;NIVEL 1
BRQB3;BOVESPA MAIS
BRSR3;NIVEL 1
BRSR5;NIVEL 1
BRSR6;NIVEL 1
BRST3;NOVO MERCADO
BSLI3;BOLSA
BSLI4;BOLSA
BTSI15;BOLSA
BTSI19;BOLSA
BTSI20;BOLSA
BTSI22;BOLSA
BTSI27;BOLSA
BTSI41;BOLSA
BVEN3;BOLSA
C1GT3;MERCADO DE BALCÃO
C3RP3;BOLSA
CALI3;BOLSA
CAMB3;BOLSA
CAML3;NOVO MERCADO
CASH3;NOVO MERCADO
CASN3;BOLSA
CASN4;BOLSA
CATA3;BOLSA
CATA4;BOLSA
CBAV3;NOVO MERCADO
CBEE3;BOLSA
CBOH3;BOLSA
CCAT3;BOLSA
CCAT4;BOLSA
CCRO3;NOVO MERCADO
CEAB3;NOVO MERCADO
CEAC3;BOLSA
CEAC4;BOLSA
CEAG3;BOLSA
CEAL3;MERCADO DE BALCÃO
CEAL4;MERCADO DE BALCÃO
CEAP3;MERCADO DE BALCÃO
CEBD3;BOLSA
CEBR3;BOLSA
CEBR5;BOLSA
CEBR6;BOLSA
CEDO3;NIVEL 1
CEDO4;NIVEL 1
CEEB3;BOLSA
CEEB5;BOLSA
CEEB6;BOLSA
CEED3;BOLSA
CEED4;BOLSA
CEEP3;BOLSA
CEGR3;BOLSA
CERO3;BOLSA
CESA3;BOLSA
CFHO3;BOLSA
CFHO4;BOLSA
CGAS3;BOLSA
CGAS5;BOLSA
CGOS3;BOLSA
CGRA3;BOLSA
CGRA4;BOLSA
CLNT3;BOLSA
CLSC3;NIVEL 2
CLSC4;NIVEL 2
CMIG3;NIVEL 1
CMIG4;NIVEL 1
CMIN3;NIVEL 2
CMNS3;BOLSA
CNRT5;BOLSA
COCE3;BOLSA
COCE5;BOLSA
COCE6;BOLSA
COCN5;BOLSA
COGN3;NOVO MERCADO
COMR3;BOLSA
CONX3;BOLSA
CPCH3;BOLSA
CPCH7;BOLSA
CPFE3;NOVO MERCADO
CPIS3;BOLSA
CPIS4;BOLSA
CPLE3;NIVEL 2
CPLE5;NIVEL 2
CPLE6;NIVEL 2
CPNO7;BOLSA
CRFB3;NOVO MERCADO
CRML4;BOLSA
CRPC4;BOLSA
CRPG3;BOLSA
CRPG5;BOLSA
CRPG6;BOLSA
CRTE3;BOLSA
CRTE5;BOLSA
CSAL4;BOLSA
CSAM3;BOLSA
CSAM4;BOLSA
CSAN3;NOVO MERCADO
CSED3;NOVO MERCADO
CSMG3;NOVO MERCADO
CSNA3;BOLSA
CSUD3;NOVO MERCADO
CTBA11B;MERCADO DE BALCÃO
CTCA3;BOVESPA MAIS
CTKA3;BOLSA
CTKA4;BOLSA
CTNM3;BOLSA
CTNM4;BOLSA
CTSA3;BOLSA
CTSA4;BOLSA
CURY3;NOVO MERCADO
CVCB3;NOVO MERCADO
CXSE3;NOVO MERCADO
CYRE3;NOVO MERCADO
DANA11;BOLSA
DASA3;NOVO MERCADO
DASS3;MERCADO DE BALCÃO
DESK3;NOVO MERCADO
DEXP3;NIVEL 1
DEXP4;NIVEL 1
DIRR3;NOVO MERCADO
DMFN3;BOLSA
DMVF3;NOVO MERCADO
DNEN3B;MERCADO DE BALCÃO
DOHL3;BOLSA
DOHL4;BOLSA
DOTZ3;NOVO MERCADO
DTCY3;BOLSA
DTCY4;BOLSA
DTEN3;BOLSA
DTEN6;BOLSA
DXCO3;NOVO MERCADO
DXXI3;BOLSA
E3XT3;BOLSA
EALT3;BOLSA
EALT4;BOLSA
EBTL3;BOLSA
ECOR3;NOVO MERCADO
EESG3;BOLSA
EGCE3;BOLSA
EGGY3;BOLSA
EGIE3;NOVO MERCADO
EKTR3;BOLSA
EKTR4;BOLSA
ELBR4;BOLSA
ELET3;NIVEL 1
ELET5;NIVEL 1
ELET6;NIVEL 1
ELMD3;NOVO MERCADO
EMAE3;BOLSA
EMAE4;BOLSA
EMBP3;BOLSA
EMBP4;BOLSA
EMBR3;NOVO MERCADO
ENAC3;BOLSA
ENEV3;NOVO MERCADO
ENGI3;NIVEL 2
